asset,entry_day,hold_days,trades,win_rate_pct,avg_return_pct,median_return_pct,avg_win_pct,avg_loss_pct,profit_factor,expected_value_pct,worst_return_pct,best_return_pct,quality_score,payoff_ratio,loss_rate_pct,gross_profit_pct,gross_loss_pct,return_std_pct,downside_std_pct,sharpe_like,sortino_like,max_consecutive_losses,max_consecutive_wins
ETH,1,9,105,53.33,0.68,0.42,8.86,-8.66,1.17,0.68,-25.96,48.15,81.91,1.02,46.67,495.89,424.46,12.0,6.12,0.06,0.11,6.0,7.0
ETH,1,10,105,49.52,0.78,-0.03,10.27,-8.54,1.18,0.78,-25.88,44.29,74.61,1.2,50.48,534.26,452.41,12.78,6.35,0.06,0.12,6.0,10.0
ETH,2,1,106,58.49,0.46,0.39,2.47,-2.37,1.46,0.46,-9.39,13.07,80.99,1.04,41.51,152.92,104.41,3.52,2.22,0.13,0.21,8.0,8.0
ETH,2,2,105,56.19,0.3,0.74,3.57,-3.88,1.18,0.3,-16.1,17.06,68.12,0.92,43.81,210.41,178.67,5.32,3.83,0.06,0.08,6.0,6.0
ETH,2,3,105,59.05,0.62,0.78,4.44,-4.9,1.31,0.62,-16.08,21.35,84.48,0.91,40.95,275.43,210.58,6.31,4.49,0.1,0.14,7.0,7.0
ETH,2,4,105,60.0,0.77,0.67,5.14,-5.78,1.33,0.77,-24.5,28.9,91.47,0.89,40.0,323.67,242.8,7.44,5.33,0.1,0.14,3.0,6.0
ETH,2,5,105,52.38,0.47,0.21,6.24,-5.89,1.17,0.47,-23.13,42.04,72.95,1.06,47.62,343.37,294.37,8.73,5.49,0.05,0.09,6.0,4.0
ETH,2,6,105,58.1,0.69,1.52,6.35,-7.17,1.23,0.69,-32.51,38.23,85.24,0.89,41.9,387.58,315.55,9.3,6.89,0.07,0.1,6.0,7.0
ETH,2,7,105,51.43,0.73,0.12,7.52,-6.45,1.23,0.73,-23.69,37.12,84.56,1.17,48.57,405.88,328.94,9.4,5.36,0.08,0.14,6.0,6.0
ETH,2,8,105,50.48,0.81,0.11,8.7,-7.24,1.22,0.81,-23.78,47.27,86.95,1.2,49.52,461.17,376.48,10.95,6.32,0.07,0.13,6.0,6.0
ETH,2,9,105,53.33,0.9,0.79,8.83,-8.16,1.24,0.9,-26.78,43.43,92.2,1.08,46.67,494.57,399.74,11.77,6.37,0.08,0.14,6.0,6.0
ETH,2,10,105,52.38,0.74,1.0,9.25,-8.61,1.18,0.74,-37.68,40.0,84.26,1.07,47.62,508.55,430.61,12.36,7.6,0.06,0.1,6.0,5.0
ETH,3,1,105,52.38,-0.16,0.09,2.28,-2.83,0.88,-0.16,-7.72,14.35,42.43,0.8,47.62,125.27,141.59,3.43,1.95,-0.05,-0.08,5.0,5.0
ETH,3,2,105,49.52,0.17,-0.03,3.95,-3.54,1.1,0.17,-12.56,21.57,48.6,1.12,50.48,205.46,187.44,5.12,3.11,0.03,0.06,5.0,5.0
ETH,3,3,105,48.57,0.33,-0.38,5.31,-4.38,1.15,0.33,-19.04,29.14,55.49,1.21,51.43,270.9,236.4,6.6,3.74,0.05,0.09,6.0,5.0
ETH,3,4,105,44.76,0.03,-0.33,6.26,-5.03,1.01,0.03,-18.98,42.3,39.12,1.25,55.24,294.37,291.67,7.99,4.41,0.0,0.01,8.0,4.0
ETH,3,5,105,50.48,0.24,0.2,6.32,-5.96,1.08,0.24,-25.51,38.48,61.24,1.06,49.52,334.77,309.98,8.59,5.66,0.03,0.04,6.0,5.0
ETH,3,6,105,47.62,0.3,-0.5,7.11,-5.9,1.1,0.3,-22.41,37.37,52.82,1.21,52.38,355.67,324.55,8.78,4.37,0.03,0.07,6.0,6.0
ETH,3,7,105,45.71,0.34,-0.69,8.36,-6.41,1.1,0.34,-26.19,47.54,54.02,1.3,54.29,401.23,365.11,10.18,5.26,0.03,0.07,6.0,4.0
ETH,3,8,105,46.67,0.45,-0.3,8.87,-6.92,1.12,0.45,-29.09,43.7,59.03,1.28,53.33,434.61,387.54,11.13,5.61,0.04,0.08,6.0,11.0
ETH,3,9,105,47.62,0.29,-1.49,9.11,-7.73,1.07,0.29,-39.65,40.26,52.17,1.18,52.38,455.65,424.98,11.79,6.63,0.02,0.04,8.0,6.0
