asset,entry_day,hold_days,trades,win_rate_pct,avg_return_pct,median_return_pct,avg_win_pct,avg_loss_pct,profit_factor,expected_value_pct,worst_return_pct,best_return_pct
GLD,3,5,38,44.74,-0.46,-0.29,2.11,-2.55,0.67,-0.46,-7.19,7.54
GLD,3,6,38,50.0,-0.22,-0.11,2.46,-2.91,0.85,-0.22,-10.01,7.36
GLD,3,7,38,50.0,0.01,0.06,2.92,-2.9,1.0,0.01,-10.01,8.75
GLD,3,8,37,45.95,0.06,-0.26,3.56,-2.92,1.04,0.06,-11.09,11.44
GLD,3,9,37,45.95,0.43,-0.67,4.58,-3.09,1.26,0.43,-11.98,19.73
GLD,3,10,37,51.35,0.68,0.1,4.31,-3.15,1.44,0.68,-9.94,16.78
NVDA,1,1,48,50.0,0.42,0.11,1.95,-1.22,1.75,0.42,-4.84,7.01
NVDA,1,2,48,54.17,0.47,0.31,2.44,-1.86,1.55,0.47,-5.84,8.08
NVDA,1,3,48,58.33,0.39,0.57,2.36,-2.36,1.4,0.39,-6.18,9.59
NVDA,1,4,48,58.33,0.67,0.51,2.97,-2.56,1.63,0.67,-6.18,9.71
NVDA,1,5,48,52.08,0.59,0.11,3.43,-2.51,1.49,0.59,-6.91,9.63
NVDA,1,6,48,52.08,0.48,0.44,3.81,-3.15,1.32,0.48,-10.07,11.78
NVDA,1,7,48,56.25,0.83,0.55,3.71,-2.87,1.66,0.83,-7.54,11.74
NVDA,1,8,47,51.06,1.02,0.25,4.74,-2.85,1.73,1.02,-6.51,15.55
NVDA,1,9,47,46.81,0.96,-0.14,5.25,-2.81,1.64,0.96,-9.61,20.84
NVDA,1,10,47,57.45,0.83,0.3,4.13,-3.63,1.54,0.83,-8.2,13.84
NVDA,2,1,48,52.08,0.05,0.05,1.23,-1.3,1.08,0.05,-5.63,4.02
NVDA,2,2,48,52.08,-0.03,0.21,1.67,-1.88,0.97,-0.03,-5.04,4.27
NVDA,2,3,48,50.0,0.25,0.01,2.47,-1.98,1.25,0.25,-4.18,8.59
NVDA,2,4,48,52.08,0.16,0.13,2.44,-2.33,1.14,0.16,-6.34,5.3
NVDA,2,5,48,54.17,0.05,0.44,2.8,-3.2,1.04,0.05,-7.6,6.88
NVDA,2,6,48,54.17,0.42,0.55,3.35,-3.05,1.3,0.42,-7.76,12.88
NVDA,2,7,47,53.19,0.58,0.24,3.9,-3.2,1.39,0.58,-7.41,14.75
NVDA,2,8,47,51.06,0.52,0.3,4.22,-3.35,1.32,0.52,-9.82,14.93
NVDA,2,9,47,51.06,0.4,0.08,4.14,-3.51,1.23,0.4,-9.5,12.06
NVDA,2,10,46,47.83,0.73,-0.23,4.92,-3.12,1.45,0.73,-7.3,13.52
NVDA,3,1,48,52.08,-0.05,0.04,1.57,-1.99,0.94,-0.05,-6.67,8.56
NVDA,3,2,48,47.92,0.22,-0.09,2.46,-1.85,1.22,0.22,-4.24,8.92
NVDA,3,3,48,45.83,0.14,-0.25,2.97,-2.34,1.12,0.14,-8.3,9.5
NVDA,3,4,48,54.17,0.04,0.33,3.03,-3.49,1.03,0.04,-8.64,11.35
NVDA,3,5,48,50.0,0.4,-0.01,3.66,-2.87,1.28,0.4,-7.13,13.47
NVDA,3,6,47,55.32,0.56,0.19,3.79,-3.43,1.37,0.56,-7.06,15.35
NVDA,3,7,47,51.06,0.5,0.04,4.36,-3.53,1.29,0.5,-9.3,13.49
NVDA,3,8,47,53.19,0.38,0.6,4.15,-3.9,1.21,0.38,-10.35,12.65
NVDA,3,9,46,50.0,0.7,0.15,4.99,-3.59,1.39,0.7,-9.54,12.65
NVDA,3,10,46,54.35,1.24,0.72,5.31,-3.6,1.76,1.24,-10.59,15.61
