asset,episode_id,start_date,end_date,duration_days,start_close,end_close,min_close,max_close,start_rsi2,end_rsi2,min_rsi2,ret_day1_hold3_pct,ret_day2_hold3_pct,ret_day3_hold3_pct,ret_after_episode_hold3_pct
BTC,BTC_68,2025-11-29,2025-12-01,3,90833.6,86300.0,86300.0,90833.6,0.0,0.0,0.0,0.53,3.41,6.77,-2.17
BTC,BTC_69,2025-12-05,2025-12-06,2,89332.4,89240.1,89240.1,89332.4,0.0,0.0,0.0,1.48,3.88,,1.75
BTC,BTC_70,2025-12-13,2025-12-15,3,90254.1,86434.3,86434.3,90254.1,0.0,0.0,0.0,-2.67,-2.22,-1.12,0.3
BTC,BTC_71,2025-12-18,2025-12-18,1,85462.5,85462.5,85462.5,85462.5,0.0,0.0,0.0,3.7,,,0.5
BTC,BTC_72,2025-12-23,2025-12-23,1,87416.4,87416.4,87416.4,87416.4,0.0,0.0,0.0,-0.13,,,0.22
BTC,BTC_73,2025-12-29,2025-12-29,1,87135.1,87135.1,87135.1,87135.1,6.59,6.59,6.59,1.83,,,1.73
BTC,BTC_74,2026-01-07,2026-01-10,4,91273.3,90375.2,90375.2,91273.3,0.0,0.0,0.0,-0.98,-0.2,0.75,6.7
BTC,BTC_75,2026-01-16,2026-01-20,5,95510.9,88309.9,88309.9,95510.9,0.0,0.0,0.0,-3.1,-7.13,-4.55,-0.33
BTC,BTC_76,2026-01-24,2026-01-25,2,89079.6,86572.3,86572.3,89079.6,8.94,0.0,0.0,0.05,2.99,,-4.23
BTC,BTC_77,2026-01-29,2026-02-01,4,84515.1,76882.2,76882.2,84515.1,0.76,0.0,0.0,-9.03,-6.49,-3.8,-20.1
BTC,BTC_78,2026-02-04,2026-02-05,2,73013.6,62858.1,62858.1,73013.6,0.0,0.0,0.0,-5.13,11.85,,-0.62
BTC,BTC_79,2026-02-10,2026-02-12,3,68785.5,66203.8,66203.8,68785.5,0.0,0.0,0.0,0.07,4.04,3.89,0.03
